"","idx","script","speaker","time_from","time_to"
"65","55","밤에 물어볼 거야!",NA,"00:07:08,719","00:07:11,180"
"66","56","'샌프란시스코 크로니클 신문사'",NA,"00:07:18,855","00:07:20,356"
"67","57","커피 맛 어때요?",NA,"00:08:12,366","00:08:14,243"
"68","58","'겁나게 맛있는 커피'",NA,"00:08:14,410","00:08:16,496"
"69","59","'편집부'",NA,"00:08:35,097","00:08:37,099"
"70","60","회의야, 들어와",NA,"00:09:00,665","00:09:02,291"
"71","61","'즉시 편집장에게!'",NA,"00:09:10,716","00:09:12,134"
"72","62","좋은 아침! ",NA,"00:09:32,446","00:09:34,282"
"73","62","안녕하세요",NA,"00:09:32,446","00:09:34,282"
"74","63","스탠턴, 징집 위원회 기사 아주 좋았다고 전해줘",NA,"00:09:35,157","00:09:40,121"
"75","64","그레이스미스?",NA,"00:09:40,580","00:09:42,373"
"76","65","끔찍해, 끔찍해",NA,"00:09:43,749","00:09:46,252"
"77","66","덜 끔찍하군",NA,"00:09:46,419","00:09:48,546"
"78","67","끔찍해 덜 끔찍한 거로 해",NA,"00:09:48,713","00:09:51,215"
"79","68","폴, 사건 사고는?",NA,"00:09:54,343","00:09:56,887"
"80","69","재니스가 파티에서 옷을 안 벗었어요",NA,"00:09:57,054","00:10:01,058"
"81","70","심각한 범죄죠",NA,"00:10:01,225","00:10:02,935"
"82","71","그녀 봤어요? 끝내줘요",NA,"00:10:03,102","00:10:05,062"
"83","72","범죄율이 오르겠군",NA,"00:10:05,229","00:10:07,732"
"84","73","이것 좀 보세요",NA,"00:10:08,482","00:10:10,610"
"85","74","사장님 모셔와",NA,"00:10:15,740","00:10:17,408"
"86","75","""편집장에게""",NA,"00:10:17,575","00:10:18,743"
"87","76","""나는 작년 호숫가 십 대 살인 사건과""",NA,"00:10:18,909","00:10:22,246"
"88","77","""7월 4일 벌레이오 골프장 근처 살인 사건의 범인이다""",NA,"00:10:22,413","00:10:25,583"
"89","78","""사실 증명을 위해""",NA,"00:10:25,750","00:10:28,419"
"90","79","""경찰만 아는 사항을 알려주겠다""",NA,"00:10:28,586","00:10:30,254"
"91","80","""성탄절, 슈퍼X란 실탄으로""",NA,"00:10:30,421","00:10:34,467"
"92","81","""10발을 쐈는데""",NA,"00:10:34,634","00:10:36,218"
"93","82","""남자는 발을 차로 향한 채 등을 대고 쓰러졌고""",NA,"00:10:36,385","00:10:38,888"
"94","83","""여자는...""",NA,"00:10:39,055","00:10:40,723"
"95","84","편집장, 마저 읽겠소?",NA,"00:10:42,642","00:10:45,686"
"96","85","""여자는 발을 서쪽을 향한 채 오른쪽으로 쓰러졌다""",NA,"00:10:46,937","00:10:49,649"
"97","86","""7월 4일, 여자는 무늬가 있는 바지를 입었고""",NA,"00:10:49,815","00:10:54,236"
"98","87","""남자는 무릎에 총상 사용된 실탄은 웨스턴이다""",NA,"00:10:54,403","00:10:59,325"
"99","88","""이건 내가 만든 암호다""",NA,"00:10:59,492","00:11:01,118"
"100","89","""암호의 나머지 2부분은""",NA,"00:11:01,285","00:11:03,329"
"101","90","""다른 경쟁 신문사 편집장들한테 보냈다""",NA,"00:11:03,496","00:11:07,750"
"102","91","""이 암호를 1면에 게재하도록""",NA,"00:11:07,917","00:11:11,587"
"103","92","""암호 속에 내 정체가 숨겨져 있다""",NA,"00:11:11,754","00:11:14,298"
"104","93","""이 암호를 8월 1일 금요일 오후까지 싣지 않으면""",NA,"00:11:14,465","00:11:17,134"
"105","94","""금요일 밤부터 무차별적인 살인을 저지르겠다""",NA,"00:11:17,301","00:11:22,932"
"106","95","""주말 동안 밤거리를 누비면서""",NA,"00:11:23,099","00:11:27,144"
"107","96","""죽이고 또 죽여 혼자 사는 12명을 죽일 것이다""",NA,"00:11:27,311","00:11:32,608"
"108","97","서명은 없고 상징만 있군",NA,"00:11:32,775","00:11:34,735"
"109","98","총탄 자국처럼 생겼네요",NA,"00:11:36,320","00:11:40,366"
"110","99","8월 1일이면 오늘이잖소 오후 판에 실으란 거군",NA,"00:11:41,242","00:11:44,662"
"111","100","경쟁사가 안 실으면 단독 특종이에요",NA,"00:11:44,829","00:11:48,124"
"112","101","12명을 죽인다잖아 ",NA,"00:11:48,290","00:11:51,544"
"113","101","싣지 않으면 죽인다 했죠",NA,"00:11:48,290","00:11:51,544"
"114","102","나쁜 선례가 될 거야",NA,"00:11:51,710","00:11:54,380"
"115","103","기삿감으로는 충분하잖아요",NA,"00:11:54,547","00:11:55,631"
"116","104","정신병자한테 연단을 만들어주는 꼴이지",NA,"00:11:55,798","00:11:59,552"
"117","105","벌레이오 사건 진짜요?",NA,"00:11:59,718","00:12:02,221"
"118","106","폴? ",NA,"00:12:02,388","00:12:05,683"
"119","106","왜요, 제가 담당이에요?",NA,"00:12:02,388","00:12:05,683"
"120","107","그렇군요, 알아보죠 ",NA,"00:12:07,184","00:12:11,230"
"121","107","경찰에 암호를 보내서 알아보고",NA,"00:12:07,184","00:12:11,230"
"122","108","진짜라면 그때 결정해요",NA,"00:12:11,397","00:12:14,775"
"123","109","좋아",NA,"00:12:15,359","00:12:16,777"
"124","110","자넨 삽화 안 그리나?",NA,"00:12:17,611","00:12:19,947"
"125","111","아, 네",NA,"00:12:20,114","00:12:21,365"
"126","112","크로니클 신문사 폴 에이버리인데",NA,"00:12:27,538","00:12:30,040"
"127","113","편지로 온 제보를 확인하려고요",NA,"00:12:30,207","00:12:33,502"
"128","114","고마워요 ",NA,"00:12:34,086","00:12:36,046"
"129","114","뮬라넥스 경사입니다",NA,"00:12:34,086","00:12:36,046"
"130","115","<i>크로니클 신문사</i> <i>폴 에이버리인데</i>",NA,"00:12:36,213","00:12:38,883"
"131","116","성탄절과 7월 4일에 미제 살인사건 있었는지",NA,"00:12:39,049","00:12:42,470"
"132","117","<i>확인 좀 부탁할게요</i>",NA,"00:12:42,636","00:12:44,513"
"133","118","젠장! 당신들도 받았소?",NA,"00:12:44,680","00:12:47,766"
"134","119","확인했어요 전부 사실이에요",NA,"00:12:48,976","00:12:51,645"
"135","120","다른 신문사에 보낸 암호는 내용이 달라",NA,"00:12:51,812","00:12:54,815"
"136","121","둘 다 다르죠 성탄절 무렵 청소년 둘이",NA,"00:12:54,982","00:12:57,818"
"137","122","살해됐어요, 데이비드와 베티",NA,"00:12:57,985","00:12:59,904"
"138","123","7월 4일엔 달린과 마이크",NA,"00:13:00,070","00:13:03,532"
"139","124","남자는 살았고요 ",NA,"00:13:03,699","00:13:06,035"
"140","124","범행 도구는?",NA,"00:13:03,699","00:13:06,035"
"141","125","편지에 적힌 대로예요",NA,"00:13:06,202","00:13:08,746"
"142","126","다른 신문사에선 게재할 거예요",NA,"00:13:08,913","00:13:11,665"
"143","127","1면에 싣진 않겠대",NA,"00:13:11,832","00:13:14,793"
"144","128","우린 1면에 실어요",NA,"00:13:14,960","00:13:16,295"
"145","129","그럼 12명 죽여도 우리 탓은 아니죠",NA,"00:13:16,462","00:13:19,215"
"146","130","로버트!",NA,"00:13:19,381","00:13:20,883"
"147","131","마감 시간이잖아",NA,"00:13:21,050","00:13:22,968"
"148","132","아직이야? ",NA,"00:13:24,595","00:13:27,431"
"149","132","끝났어요",NA,"00:13:24,595","00:13:27,431"
"150","133","사장님이 아직 계세요",NA,"00:13:27,598","00:13:29,266"
"151","134","진짜?",NA,"00:13:29,433","00:13:30,851"
"152","135","초판 인쇄 10분 전예요",NA,"00:13:31,435","00:13:34,396"
"153","136","잠깐만",NA,"00:13:37,483","00:13:39,276"
"154","137","게재합시다",NA,"00:13:42,029","00:13:43,447"
"155","138","1면은 안 되고 4면에",NA,"00:13:43,989","00:13:47,535"
"156","139","이름이 밝혀진다는데 20달러 걸래요?",NA,"00:13:48,452","00:13:51,580"
"157","140","이름은 없을 거예요",NA,"00:13:51,747","00:13:53,707"
"158","141","한잔하러 갈 건데 생각 있어요?",NA,"00:13:54,750","00:13:56,710"
"159","142","책상에 올려놔 불 켜고",NA,"00:14:25,489","00:14:28,492"
"160","143","네 책 들어",NA,"00:14:39,545","00:14:41,088"
"161","144","'암호 해독법'",NA,"00:14:41,255","00:14:42,590"
"162","145","잠옷 입어",NA,"00:14:43,674","00:14:45,968"
"163","146","<i>모두 주목!</i>",NA,"00:14:48,637","00:14:50,097"
"164","147","암호는 3부분으로 나뉘어 있고",NA,"00:14:50,264","00:14:52,433"
"165","148","'12시간 후 ",NA,"00:14:52,600","00:14:53,601"
"166","148","해군 정보부'",NA,"00:14:52,600","00:14:53,601"
"167","149","각각 8줄과 17개 기호로 되어 있다",NA,"00:14:53,767","00:14:55,811"
"168","150","기호들은 모두 붙어있으며",NA,"00:14:55,978","00:14:57,813"
"169","151","'6시간 후 ",NA,"00:14:57,980","00:14:58,981"
"170","151","FBI'",NA,"00:14:57,980","00:14:58,981"
"171","152","치환 암호에 대한 숫자나 단서는 없다",NA,"00:14:59,148","00:15:01,066"
"172","153","기호의 출처는 적어도 7개 이상이다",NA,"00:15:01,233","00:15:04,194"
"173","154","'5시간 후 ",NA,"00:15:04,361","00:15:05,362"
"174","154","CIA'",NA,"00:15:04,361","00:15:05,362"
"175","155","그리스어, 모스 부호, 해군 수신호 날씨와 점성술 기호",NA,"00:15:05,529","00:15:09,116"
"176","156","'벌레이오 살해 협박 실패로 돌아가다'",NA,"00:15:09,283","00:15:12,953"
"177","157","여보, 이걸 봐 ",NA,"00:15:14,830","00:15:17,917"
"178","157","알았어",NA,"00:15:14,830","00:15:17,917"
"179","158","'12시간 후 ",NA,"00:15:18,751","00:15:22,254"
"180","158","하든 부부의 집'",NA,"00:15:18,751","00:15:22,254"
"181","159","풀어볼까?",NA,"00:15:23,130","00:15:24,840"
"182","160","'3일 후 ",NA,"00:15:26,216","00:15:27,217"
"183","160","샌프란시스코'",NA,"00:15:26,216","00:15:27,217"
"184","161","자네 전임자는 훌륭한 삽화가였는데",NA,"00:15:27,384","00:15:30,220"
"185","162","방송국으로 옮겼지 이유는 모르겠지만",NA,"00:15:30,387","00:15:34,224"
"186","163","폴 에이버리야",NA,"00:15:34,934","00:15:36,685"
"187","164","로버트 그레이스미스 입사 9개월 차예요",NA,"00:15:37,728","00:15:40,731"
"188","165","자네가 맞았어 놈의 이름이 없더군",NA,"00:15:43,609","00:15:46,111"
"189","166","누가 풀었죠? ",NA,"00:15:46,278","00:15:49,365"
"190","166","역사 선생 부부",NA,"00:15:46,278","00:15:49,365"
"191","167","""난 사람 죽이는 걸 즐긴다""",NA,"00:15:49,531","00:15:52,701"
"192","168","""짐승 사냥보다 훨씬 더 재밌지""",NA,"00:15:52,868","00:15:56,580"
"193","169","""인간은 세상에서 가장 위험한 동물이니까""",NA,"00:15:56,747","00:16:01,418"
"194","170","""뭔가를 죽일 때의 그 짜릿함이란""",NA,"00:16:01,585","00:16:04,129"
"195","171","""여자랑 섹스할 때보다 더 황홀하다""",NA,"00:16:04,296","00:16:08,217"
"196","172","""무엇보다 좋은 건 난 죽으면""",NA,"00:16:08,384","00:16:12,096"
"197","173","""지상 낙원에서 다시 태어나고""",NA,"00:16:12,262","00:16:15,516"
"198","174","""내가 죽인 사람들이 내 노예가 된단 거지""",NA,"00:16:15,683","00:16:18,602"
"199","175","""내가 누군지 알려주진 않겠다""",NA,"00:16:18,769","00:16:22,272"
"200","176","""노예 수집을 막으려고 할 테니까""",NA,"00:16:22,439","00:16:25,693"
"201","177","완전히 미친놈이야",NA,"00:16:25,859","00:16:28,445"
"202","178","벌레이오 신문사엔 암호 풀 단서도 보냈대",NA,"00:16:28,612","00:16:31,865"
"203","179","밑에 이건 뭐죠? ",NA,"00:16:32,032","00:16:34,118"
"204","179","글쎄",NA,"00:16:32,032","00:16:34,118"
"205","180","낱말 맞추긴가?",NA,"00:16:34,284","00:16:35,703"
"206","181","'로버트 헴프'",NA,"00:16:45,295","00:16:47,423"
"207","182","어떻게 한 거야?",NA,"00:16:52,469","00:16:55,723"
"208","183","퍼즐을 좋아해요",NA,"00:16:55,889","00:16:57,641"
"209","184","'히피'",NA,"00:16:57,808","00:16:59,226"
"210","185","이름 안 밝힐 걸 어떻게 알았지?",NA,"00:16:59,393","00:17:02,187"
"211","186","""위험한 동물""",NA,"00:17:03,105","00:17:05,065"
"212","187","위험한 동물...",NA,"00:17:05,566","00:17:07,483"
"213","188","위험한 동물... 어디서 들어봤지?",NA,"00:17:08,027","00:17:11,195"
"214","189","폴! ",NA,"00:17:18,412","00:17:19,997"
"215","189","네, 편집장님",NA,"00:17:18,412","00:17:19,997"
"216","190","회의 들어와 ",NA,"00:17:20,164","00:17:22,415"
"217","190","네",NA,"00:17:20,164","00:17:22,415"
"218","191","또 편지가 왔어",NA,"00:17:24,292","00:17:25,752"
"219","192","이전과 똑같이",NA,"00:17:25,919","00:17:27,546"
"220","193","살인에 대한 설명인데",NA,"00:17:27,713","00:17:29,673"
"221","194","총에 플래시를 붙여서 한밤중에 쐈다는군",NA,"00:17:30,507","00:17:34,178"
"222","195","자기 별명도 밝혔고",NA,"00:17:34,344","00:17:36,430"
"223","196","'편집장에게 난 조디악이다'",NA,"00:17:40,184","00:17:42,186"
"224","197","'한 달 보름 후 ",NA,"00:17:46,774","00:17:49,651"
"225","197","캘리포니아, 나파 1969년 9월 27일'",NA,"00:17:46,774","00:17:49,651"
"226","198","<i>원래는 마을이었대</i>",NA,"00:17:57,451","00:18:00,037"
"227","199","근데 아주 오래전에 호수가 필요해서",NA,"00:18:00,788","00:18:05,334"
"228","200","수몰시킨 거지",NA,"00:18:05,501","00:18:07,336"
"229","201","물밑엔... ",NA,"00:18:08,545","00:18:12,341"
"230","201","마을이 잠겨있다",NA,"00:18:08,545","00:18:12,341"
"231","202","봄에도 왔었잖아 ",NA,"00:18:12,508","00:18:15,636"
"232","202","아, 그랬지",NA,"00:18:12,508","00:18:15,636"
"233","203","누군가 있어 ",NA,"00:18:22,226","00:18:25,562"
"234","203","공원이잖아",NA,"00:18:22,226","00:18:25,562"
"235","204","우릴 보나 봐",NA,"00:18:28,398","00:18:30,567"
"236","205","선남선녀니까",NA,"00:18:30,734","00:18:32,861"
"237","206","어디 갔지?",NA,"00:18:38,742","00:18:40,536"
"238","207","나무 뒤에 숨었어 ",NA,"00:18:43,122","00:18:47,084"
"239","207","오줌 누나 보지",NA,"00:18:43,122","00:18:47,084"
"240","208","이쪽으로 와",NA,"00:18:53,841","00:18:56,093"
"241","209","총을 가졌어!",NA,"00:18:57,970","00:18:59,555"
"242","210","움직이지 마",NA,"00:19:00,681","00:19:02,266"
"243","211","돈이랑 차 열쇠 내놔 ",NA,"00:19:02,432","00:19:05,352"
"244","211","알았어요",NA,"00:19:02,432","00:19:05,352"
"245","212","시키는 대로 할게요",NA,"00:19:05,769","00:19:07,437"
"246","213","다 줄게요 ",NA,"00:19:07,604","00:19:10,732"
"247","213","원하는 게 뭔지 말해요",NA,"00:19:07,604","00:19:10,732"
"248","214","여기요",NA,"00:19:14,862","00:19:16,446"
"249","215","가진 거 전부 줄게요",NA,"00:19:18,282","00:19:20,784"
"250","216","더 필요한 거 있어요?",NA,"00:19:24,288","00:19:26,915"
"251","217","수표라도 써줄게요",NA,"00:19:27,082","00:19:29,126"
"252","218","전화번호도 주고",NA,"00:19:31,795","00:19:33,922"
"253","219","도와줄 수도 있어요",NA,"00:19:35,090","00:19:37,301"
"254","220","그러니까 말해요 ",NA,"00:19:38,343","00:19:42,306"
"255","220","사회학 전공했어요",NA,"00:19:38,343","00:19:42,306"
"256","221","법대예요, 사실은",NA,"00:19:43,682","00:19:47,144"
"257","222","참, 열쇠 미안해요, 어디 뒀는지 모르겠는데",NA,"00:19:48,312","00:19:51,982"
"258","223","담요에 있는지 찾아볼게요",NA,"00:19:52,149","00:19:55,068"
"259","224","여기 열쇠요",NA,"00:19:59,948","00:20:01,366"
"260","225","일어나지 마 여자가 묶을 거야",NA,"00:20:02,993","00:20:06,496"
"261","226","알았어요",NA,"00:20:10,876","00:20:12,502"
"262","227","가까이 오면 총을 뺏을 수도 있겠어",NA,"00:20:31,813","00:20:34,983"
"263","228","헛수작 부리지 마 ",NA,"00:20:35,150","00:20:37,236"
"264","228","알았어요",NA,"00:20:35,150","00:20:37,236"
"265","229","몬태나에서 탈옥하면서 교도관을 죽였어",NA,"00:20:37,402","00:20:39,988"
"266","230","아무 짓 안 해요",NA,"00:20:40,155","00:20:41,990"
"267","231","또 죽일 수 있어",NA,"00:20:42,157","00:20:44,034"
"268","232","고개 돌려",NA,"00:20:45,953","00:20:47,579"
"269","233","교도소 이름이?",NA,"00:20:54,253","00:20:56,380"
"270","234","몬태나에 있다고요?",NA,"00:21:00,676","00:21:03,053"
"271","235","차를 가져가겠다 멕시코에 갈 거야",NA,"00:21:04,221","00:21:08,016"
"272","236","손을 묶어도 가만있었잖아요",NA,"00:21:08,183","00:21:10,227"
"273","237","원하는 걸 전부 줬고 시키는 대로 했어요",NA,"00:21:10,394","00:21:14,398"
"274","238","걱정하지 마",NA,"00:21:15,065","00:21:16,441"
"275","239","느슨하게 묶었군",NA,"00:21:16,608","00:21:19,069"
"276","240","다리 묶게 엎드려",NA,"00:21:21,947","00:21:24,283"
"277","241","여긴 밤엔 추워져서 얼어 죽을 수 있어요",NA,"00:21:24,449","00:21:28,912"
"278","242","됐어요?",NA,"00:21:36,962","00:21:38,422"
"279","243","궁금해서 그러는데 총알은 들었어요?",NA,"00:21:40,716","00:21:44,636"
"280","244","괜찮아, 아무 일 없을 거야",NA,"00:21:55,439","00:21:58,275"
"281","245","<i>여긴 43L2, 녹스빌 로드</i> <i>남쪽으로 이동 중</i>",NA,"00:22:28,388","00:22:31,975"
"282","246","<i>길가에 버려진 흰색 차량이...</i>",NA,"00:22:32,142","00:22:34,603"
"283","247","'벌레이오 12-20-68, 7-4-69""",NA,"00:22:42,069","00:22:44,154"
"284","248","1969년 9월 27일 ",NA,"00:22:44,237","00:22:46,323"
"285","248","6시 30분 범행 도구는 칼'",NA,"00:22:44,237","00:22:46,323"
"286","249","<i>나파 경찰입니다</i>",NA,"00:22:50,118","00:22:51,953"
"287","250","<i>살인 사건이야</i> <i>둘이 죽었는데</i>",NA,"00:22:52,120","00:22:57,250"
"288","251","<i>공원 관리소에서</i> <i>북쪽으로 3.2km</i>",NA,"00:22:57,876","00:23:01,254"
"289","252","<i>흰색 폭스바겐</i> <i>차를 타고 있었지</i>",NA,"00:23:01,421","00:23:05,509"
"290","253","<i>내가 죽였다</i>",NA,"00:23:06,468","00:23:08,428"
"291","254","<i>43L2가 살아 있는 남자를 발견</i> <i>구급차 급파했다</i>",NA,"00:23:08,637","00:23:13,350"
"292","255","또 여자만 죽었어",NA,"00:23:14,309","00:23:16,436"
"293","256","살아도 끔찍하지! 차에 범행을 적어놨어",NA,"00:23:16,645","00:23:20,190"
"294","257","왜 벌레이오에서 나파로 옮겨갔지?",NA,"00:23:20,357","00:23:23,819"
"295","258","왜 범행 지역을 옮긴 거야?",NA,"00:23:23,985","00:23:27,155"
"296","259","대체 뭘 그리는 거야?",NA,"00:23:27,322","00:23:29,157"
"297","260","생존자가 진술한 범인 모습이에요",NA,"00:23:29,324","00:23:32,410"
"298","261","뭘 입은 거야? ",NA,"00:23:32,577","00:23:35,205"
"299","261","폴, 기사 멀었어?",NA,"00:23:32,577","00:23:35,205"
"300","262","다 썼어요 타이핑만 치면 돼요",NA,"00:23:35,372","00:23:38,291"
"301","263","타이핑 쳐야 끝나지 마감 닥쳤다고",NA,"00:23:38,458","00:23:41,545"
"302","264","저건 뭐야? ",NA,"00:23:44,673","00:23:47,217"
"303","264","조디악 킬러요",NA,"00:23:44,673","00:23:47,217"
"304","265","어떤 친구예요? 약간 맛이 간 것 같은데",NA,"00:23:47,384","00:23:51,388"
"305","266","그레이스미스? 보이스카우트 타입이야",NA,"00:23:51,555","00:23:53,849"
"306","267","담배, 술도 않고 욕도 안 해",NA,"00:23:54,015","00:23:56,685"
"307","268","저기 와요 ",NA,"00:23:56,852","00:23:57,853"
"308","268","알았어요!",NA,"00:23:56,852","00:23:57,853"
"309","269","""인간은 세상에서 가장 위험한 동물이다""",NA,"00:23:58,019","00:23:59,688"
"310","270","들어봤다 싶었죠 '가장 위험한 게임'",NA,"00:23:59,855","00:24:03,108"
"311","271","인간을 사냥하는 백작 이야기예요",NA,"00:24:03,275","00:24:05,986"
"312","272","사람들요 '위험한 게임'",NA,"00:24:06,153","00:24:08,780"
"313","273","누구야? ",NA,"00:24:10,115","00:24:12,659"
"314","273","자로프 백작이에요",NA,"00:24:10,115","00:24:12,659"
"315","274","자로프? Z로 시작해?",NA,"00:24:12,826","00:24:15,829"
"316","275","<i>이상으로 뉴스를 마칩니다</i>",NA,"00:24:17,539","00:24:19,082"
"317","276","<i>오늘 밤 통금이 발효된 지역은</i> <i>다음과 같습니다</i>",NA,"00:24:19,249","00:24:21,751"
"318","277","<i>나파, 솔라노, 콘트라코스타</i> <i>앨러미다, 마린, 산마테오</i>",NA,"00:24:21,918","00:24:24,838"
"319","278","'2주 후 ",NA,"00:24:24,963","00:24:26,006"
"320","278","샌프란시스코'",NA,"00:24:24,963","00:24:26,006"
"321","279","<i>모두 안전에 주의하세요</i>",NA,"00:24:26,173","00:24:28,008"
"322","280","<i>샌프란시스코에 빅을 연결하죠</i> <i>조디악이 안 무서우세요?</i>",NA,"00:24:28,175","00:24:31,720"
"323","281","<i>전혀요, 촌놈들만 죽이잖아요</i>",NA,"00:24:31,887","00:24:34,556"
"324","282","<i>이상한 옷 걸치고</i> <i>해괴한 짓을 하는</i>",NA,"00:24:34,764","00:24:37,267"
"325","283","<i>히피들이 더 무섭죠</i>",NA,"00:24:37,434","00:24:39,436"
"326","284","<i>",NA,"00:24:39,603","00:24:41,479"
"327","284","택시!</i> <i>",NA,"00:24:39,603","00:24:41,479"
"328","284","알프레드, 말씀하세요</i>",NA,"00:24:39,603","00:24:41,479"
"329","285","<i>촌놈들이라니</i> <i>말이 너무 지나치네요</i>",NA,"00:24:41,646","00:24:45,525"
"330","286","<i>착하고 단정한 애들인데</i>",NA,"00:24:45,692","00:24:47,277"
"331","287","<i>아무도 인명을</i> <i>경시하진 않아요</i>",NA,"00:24:47,444","00:24:50,030"
"332","288","<i>금방 그랬잖아요</i>",NA,"00:24:50,197","00:24:52,115"
"333","289","<i>여기 노스베이 지역 사회는</i> <i>탄탄해요</i>",NA,"00:24:52,282","00:24:55,118"
"334","290","<i>문제는 사탄들이</i> <i>날뛰는 대도시죠</i>",NA,"00:24:55,285","00:24:58,872"
"335","291","<i>그렇다면 조디악은</i> <i>사탄일까요?</i>",NA,"00:24:59,039","00:25:02,083"
"336","292","<i>앰버, 어떻게 생각하세요?</i>",NA,"00:25:02,250","00:25:04,211"
"337","293","<i>그 암호는 기독교하곤</i> <i>거리가 멀죠</i>",NA,"00:25:04,377","00:25:08,131"
